BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,WBcode,region_code,pop
1,"Algeria",1950,"F",15,24,87.60,11.27,3.17,1.03,0.34,0.10,0.04,0.563,0.501,0.059,0.003,"DZA","Middle East and North Africa",806.0
1,"Algeria",1950,"F",25,34,85.82,12.42,3.03,1.56,0.50,0.20,0.12,0.667,0.569,0.091,0.006,"DZA","Middle East and North Africa",580.0
1,"Algeria",1950,"F",35,44,84.38,13.93,2.69,1.49,0.38,0.20,0.13,0.692,0.600,0.085,0.007,"DZA","Middle East and North Africa",407.0
1,"Algeria",1950,"F",45,54,81.13,17.17,2.94,1.55,0.36,0.15,0.09,0.794,0.706,0.084,0.005,"DZA","Middle East and North Africa",299.0
1,"Algeria",1950,"F",55,64,76.90,21.55,3.01,1.46,0.31,0.10,0.06,0.908,0.830,0.074,0.003,"DZA","Middle East and North Africa",243.0
1,"Algeria",1955,"F",15,24,86.89,11.47,2.50,1.54,0.48,0.05,0.02,0.595,0.514,0.079,0.001,"DZA","Middle East and North Africa",910.0
1,"Algeria",1955,"F",25,34,86.00,12.20,3.40,1.70,0.50,0.20,0.12,0.685,0.582,0.097,0.006,"DZA","Middle East and North Africa",654.0
1,"Algeria",1955,"F",35,44,85.70,12.70,2.60,1.40,0.20,0.20,0.13,0.638,0.555,0.076,0.007,"DZA","Middle East and North Africa",461.0
1,"Algeria",1955,"F",45,54,82.80,15.40,2.80,1.60,0.20,0.20,0.12,0.744,0.654,0.084,0.006,"DZA","Middle East and North Africa",320.0
1,"Algeria",1955,"F",55,64,79.20,19.20,3.10,1.50,0.10,0.10,0.06,0.838,0.765,0.070,0.003,"DZA","Middle East and North Africa",243.0
1,"Algeria",1960,"F",15,24,86.57,10.13,2.26,3.18,1.09,0.12,0.04,0.740,0.569,0.168,0.003,"DZA","Middle East and North Africa",1002.0
1,"Algeria",1960,"F",25,34,89.44,9.09,2.35,1.35,0.51,0.12,0.07,0.513,0.431,0.078,0.004,"DZA","Middle East and North Africa",726.0
1,"Algeria",1960,"F",35,44,89.23,9.42,2.19,1.20,0.36,0.16,0.10,0.504,0.429,0.070,0.005,"DZA","Middle East and North Africa",513.0
1,"Algeria",1960,"F",45,54,88.38,10.35,1.92,1.11,0.28,0.16,0.10,0.514,0.444,0.064,0.005,"DZA","Middle East and North Africa",349.0
1,"Algeria",1960,"F",55,64,86.14,12.57,2.10,1.16,0.27,0.13,0.07,0.585,0.517,0.063,0.004,"DZA","Middle East and North Africa",237.0
1,"Algeria",1965,"F",15,24,85.29,10.30,3.14,4.26,1.64,0.14,0.05,0.901,0.668,0.230,0.004,"DZA","Middle East and North Africa",1085.0
1,"Algeria",1965,"F",25,34,90.70,7.59,1.68,1.58,0.74,0.13,0.08,0.480,0.381,0.095,0.004,"DZA","Middle East and North Africa",783.0
1,"Algeria",1965,"F",35,44,92.74,6.28,1.86,0.87,0.33,0.11,0.07,0.358,0.303,0.052,0.003,"DZA","Middle East and North Africa",545.0
1,"Algeria",1965,"F",45,54,93.53,5.71,1.34,0.65,0.25,0.11,0.06,0.302,0.257,0.041,0.003,"DZA","Middle East and North Africa",367.0
1,"Algeria",1965,"F",55,64,92.71,6.49,1.38,0.70,0.25,0.11,0.06,0.331,0.284,0.043,0.003,"DZA","Middle East and North Africa",233.0
1,"Algeria",1970,"F",15,24,69.70,20.30,6.41,9.60,5.29,0.20,0.05,1.951,1.389,0.557,0.005,"DZA","Middle East and North Africa",1221.0
1,"Algeria",1970,"F",25,34,91.50,6.50,1.75,1.80,1.00,0.20,0.11,0.490,0.367,0.116,0.006,"DZA","Middle East and North Africa",834.0
1,"Algeria",1970,"F",35,44,96.30,3.20,0.81,0.40,0.16,0.00,0.00,0.165,0.144,0.021,0.000,"DZA","Middle East and North Africa",651.0
1,"Algeria",1970,"F",45,54,98.50,1.30,0.31,0.20,0.08,0.00,0.00,0.071,0.060,0.010,0.000,"DZA","Middle East and North Africa",413.0
1,"Algeria",1970,"F",55,64,99.20,0.70,0.15,0.10,0.04,0.00,0.00,0.037,0.032,0.005,0.000,"DZA","Middle East and North Africa",334.0
1,"Algeria",1975,"F",15,24,57.60,29.45,5.29,12.38,7.12,0.58,0.19,2.584,1.819,0.749,0.015,"DZA","Middle East and North Africa",1469.0
1,"Algeria",1975,"F",25,34,79.18,14.60,2.84,5.95,4.20,0.27,0.15,1.287,0.896,0.383,0.008,"DZA","Middle East and North Africa",937.0
1,"Algeria",1975,"F",35,44,93.66,5.09,1.15,1.11,0.53,0.14,0.09,0.337,0.262,0.070,0.005,"DZA","Middle East and North Africa",738.0
1,"Algeria",1975,"F",45,54,97.32,2.32,0.65,0.30,0.12,0.05,0.03,0.131,0.110,0.019,0.002,"DZA","Middle East and North Africa",503.0
1,"Algeria",1975,"F",55,64,98.77,1.03,0.21,0.16,0.06,0.05,0.03,0.062,0.049,0.011,0.001,"DZA","Middle East and North Africa",362.0
1,"Algeria",1980,"F",15,24,49.55,30.53,5.09,18.66,10.78,1.27,0.45,3.457,2.264,1.158,0.034,"DZA","Middle East and North Africa",1783.0
1,"Algeria",1980,"F",25,34,63.05,27.11,4.93,9.14,6.70,0.70,0.41,2.189,1.552,0.616,0.022,"DZA","Middle East and North Africa",1160.0
1,"Algeria",1980,"F",35,44,90.57,7.41,1.57,1.74,0.98,0.28,0.18,0.519,0.391,0.119,0.009,"DZA","Middle East and North Africa",773.0
1,"Algeria",1980,"F",45,54,96.03,3.48,0.88,0.41,0.17,0.08,0.05,0.190,0.160,0.027,0.003,"DZA","Middle East and North Africa",621.0
1,"Algeria",1980,"F",55,64,98.46,1.30,0.32,0.20,0.08,0.05,0.03,0.078,0.063,0.014,0.001,"DZA","Middle East and North Africa",400.0
1,"Algeria",1985,"F",15,24,37.30,32.21,15.70,27.83,16.56,2.66,1.04,5.137,3.267,1.796,0.074,"DZA","Middle East and North Africa",2194.0
1,"Algeria",1985,"F",25,34,52.61,33.99,11.59,11.63,8.69,1.78,1.10,3.079,2.171,0.850,0.057,"DZA","Middle East and North Africa",1434.0
1,"Algeria",1985,"F",35,44,79.27,15.16,4.91,5.11,3.65,0.45,0.31,1.297,0.936,0.346,0.015,"DZA","Middle East and North Africa",868.0
1,"Algeria",1985,"F",45,54,93.37,5.44,1.19,1.02,0.51,0.17,0.11,0.344,0.270,0.068,0.006,"DZA","Middle East and North Africa",718.0
1,"Algeria",1985,"F",55,64,97.37,2.28,0.69,0.28,0.12,0.08,0.05,0.133,0.110,0.020,0.002,"DZA","Middle East and North Africa",463.0
1,"Algeria",1990,"F",15,24,30.28,33.28,16.04,33.42,20.34,3.03,1.21,5.910,3.666,2.159,0.085,"DZA","Middle East and North Africa",2535.0
1,"Algeria",1990,"F",25,34,43.45,35.61,14.89,17.14,13.10,3.80,2.38,4.239,2.771,1.344,0.124,"DZA","Middle East and North Africa",1753.0
1,"Algeria",1990,"F",35,44,64.05,26.89,8.96,7.96,5.92,1.11,0.76,2.230,1.619,0.574,0.037,"DZA","Middle East and North Africa",1128.0
1,"Algeria",1990,"F",45,54,89.18,8.76,2.48,1.66,0.99,0.41,0.27,0.599,0.461,0.124,0.014,"DZA","Middle East and North Africa",740.0
1,"Algeria",1990,"F",55,64,95.54,3.91,0.96,0.42,0.20,0.13,0.08,0.215,0.179,0.032,0.004,"DZA","Middle East and North Africa",566.0
1,"Algeria",1995,"F",15,24,19.44,38.82,25.01,37.43,23.36,4.31,1.79,7.041,4.419,2.500,0.122,"DZA","Middle East and North Africa",2930.0
1,"Algeria",1995,"F",25,34,34.91,37.16,17.85,22.51,17.44,5.41,3.44,5.306,3.326,1.803,0.177,"DZA","Middle East and North Africa",2142.0
1,"Algeria",1995,"F",35,44,54.46,33.51,11.39,9.83,7.42,2.20,1.54,2.914,2.069,0.770,0.075,"DZA","Middle East and North Africa",1392.0
1,"Algeria",1995,"F",45,54,79.25,16.09,5.19,3.92,2.87,0.73,0.49,1.236,0.918,0.294,0.024,"DZA","Middle East and North Africa",832.0
1,"Algeria",1995,"F",55,64,92.91,5.97,1.31,0.90,0.47,0.21,0.14,0.357,0.285,0.065,0.007,"DZA","Middle East and North Africa",658.0
1,"Algeria",2000,"F",15,24,14.72,45.65,30.78,31.53,19.53,8.09,3.49,7.103,4.671,2.201,0.232,"DZA","Middle East and North Africa",3380.0
1,"Algeria",2000,"F",25,34,25.82,41.02,23.36,26.00,20.33,7.16,4.57,6.307,3.921,2.151,0.235,"DZA","Middle East and North Africa",2473.0
1,"Algeria",2000,"F",35,44,44.91,36.72,15.61,14.16,10.78,4.22,2.97,4.001,2.672,1.185,0.144,"DZA","Middle East and North Africa",1704.0
1,"Algeria",2000,"F",45,54,65.53,26.55,8.90,6.21,4.72,1.71,1.16,2.106,1.539,0.510,0.057,"DZA","Middle East and North Africa",1084.0
1,"Algeria",2000,"F",55,64,87.04,10.83,3.16,1.54,0.93,0.60,0.38,0.698,0.547,0.131,0.020,"DZA","Middle East and North Africa",680.0
1,"Algeria",2005,"F",15,24,8.71,47.21,35.00,30.61,19.52,13.47,5.38,7.800,5.111,2.312,0.377,"DZA","Middle East and North Africa",3639.0
1,"Algeria",2005,"F",25,34,19.70,42.70,28.01,24.66,19.54,12.94,8.25,7.279,4.377,2.478,0.424,"DZA","Middle East and North Africa",2859.0
1,"Algeria",2005,"F",35,44,37.22,41.02,19.79,15.99,12.35,5.76,4.06,4.740,3.130,1.414,0.196,"DZA","Middle East and North Africa",2086.0
1,"Algeria",2005,"F",45,54,57.21,32.80,11.19,7.16,5.52,2.83,1.92,2.664,1.919,0.650,0.095,"DZA","Middle East and North Africa",1340.0
1,"Algeria",2005,"F",55,64,79.27,17.45,5.65,2.15,1.54,1.14,0.73,1.139,0.890,0.212,0.037,"DZA","Middle East and North Africa",769.0
1,"Algeria",2010,"F",15,24,6.19,36.81,23.37,37.93,24.47,19.07,7.49,8.773,5.225,3.016,0.531,"DZA","Middle East and North Africa",3558.0
1,"Algeria",2010,"F",25,34,13.99,43.21,29.07,22.93,18.47,19.87,12.68,8.005,4.736,2.618,0.651,"DZA","Middle East and North Africa",3320.0
1,"Algeria",2010,"F",35,44,29.50,41.58,23.64,21.69,17.01,7.23,5.09,5.822,3.692,1.884,0.246,"DZA","Middle East and North Africa",2422.0
1,"Algeria",2010,"F",45,54,45.86,37.47,16.07,12.18,9.53,4.50,3.05,3.845,2.607,1.088,0.151,"DZA","Middle East and North Africa",1650.0
1,"Algeria",2010,"F",55,64,66.37,26.42,8.89,5.08,3.92,2.13,1.36,2.030,1.491,0.469,0.070,"DZA","Middle East and North Africa",1011.0
1,"Algeria",2015,"F",15,24,3.12,22.64,13.37,52.42,35.08,21.82,8.57,9.983,5.109,4.266,0.608,"DZA","Middle East and North Africa",3248.0
1,"Algeria",2015,"F",25,34,7.63,40.03,26.17,23.84,19.30,28.50,17.90,9.058,5.126,3.004,0.928,"DZA","Middle East and North Africa",3638.0
1,"Algeria",2015,"F",35,44,19.64,42.71,28.03,24.62,19.41,13.03,9.03,7.301,4.381,2.479,0.441,"DZA","Middle East and North Africa",2751.0
1,"Algeria",2015,"F",45,54,37.22,41.02,19.79,15.99,12.58,5.76,3.85,4.743,3.130,1.421,0.192,"DZA","Middle East and North Africa",1942.0
1,"Algeria",2015,"F",55,64,57.21,32.80,11.19,7.16,5.54,2.83,1.79,2.662,1.919,0.651,0.092,"DZA","Middle East and North Africa",1299.0
3,"Benin",1950,"F",15,24,94.37,2.93,1.19,2.63,0.35,0.07,0.02,0.409,0.286,0.121,0.002,"BEN","Sub-Saharan Africa",163.0
3,"Benin",1950,"F",25,34,94.21,4.40,1.53,1.30,0.40,0.10,0.06,0.336,0.262,0.071,0.003,"BEN","Sub-Saharan Africa",122.0
3,"Benin",1950,"F",35,44,94.26,4.40,1.33,1.24,0.38,0.10,0.06,0.323,0.252,0.068,0.003,"BEN","Sub-Saharan Africa",91.0
3,"Benin",1950,"F",45,54,97.15,2.25,0.59,0.56,0.18,0.05,0.03,0.155,0.122,0.031,0.002,"BEN","Sub-Saharan Africa",85.0
3,"Benin",1950,"F",55,64,99.72,0.21,0.05,0.07,0.03,0.02,0.01,0.019,0.013,0.005,0.001,"BEN","Sub-Saharan Africa",110.0
3,"Benin",1955,"F",15,24,93.74,3.43,1.45,2.77,0.36,0.07,0.02,0.445,0.316,0.126,0.002,"BEN","Sub-Saharan Africa",182.0
3,"Benin",1955,"F",25,34,94.21,4.40,1.56,1.30,0.40,0.10,0.06,0.337,0.263,0.071,0.003,"BEN","Sub-Saharan Africa",133.0
3,"Benin",1955,"F",35,44,94.21,4.40,1.36,1.30,0.40,0.10,0.06,0.331,0.257,0.071,0.003,"BEN","Sub-Saharan Africa",99.0
3,"Benin",1955,"F",45,54,94.38,4.40,1.19,1.13,0.35,0.09,0.05,0.305,0.241,0.062,0.003,"BEN","Sub-Saharan Africa",78.0
3,"Benin",1955,"F",55,64,99.63,0.28,0.07,0.09,0.03,0.02,0.01,0.024,0.017,0.006,0.001,"BEN","Sub-Saharan Africa",92.0
3,"Benin",1960,"F",15,24,92.84,4.13,1.83,2.96,0.38,0.07,0.02,0.497,0.361,0.135,0.002,"BEN","Sub-Saharan Africa",204.0
3,"Benin",1960,"F",25,34,94.21,4.40,1.63,1.30,0.40,0.10,0.06,0.339,0.265,0.071,0.003,"BEN","Sub-Saharan Africa",145.0
3,"Benin",1960,"F",35,44,94.21,4.40,1.42,1.30,0.40,0.10,0.06,0.333,0.258,0.071,0.003,"BEN","Sub-Saharan Africa",109.0
3,"Benin",1960,"F",45,54,94.26,4.40,1.24,1.24,0.38,0.10,0.06,0.320,0.249,0.068,0.003,"BEN","Sub-Saharan Africa",79.0
3,"Benin",1960,"F",55,64,97.07,2.31,0.62,0.58,0.18,0.05,0.03,0.159,0.125,0.032,0.002,"BEN","Sub-Saharan Africa",70.0
3,"Benin",1965,"F",15,24,91.45,5.05,2.39,3.44,0.41,0.07,0.02,0.590,0.433,0.155,0.002,"BEN","Sub-Saharan Africa",236.0
3,"Benin",1965,"F",25,34,94.21,4.40,1.73,1.30,0.40,0.10,0.06,0.342,0.268,0.071,0.003,"BEN","Sub-Saharan Africa",164.0
3,"Benin",1965,"F",35,44,94.21,4.40,1.50,1.30,0.40,0.10,0.06,0.335,0.261,0.071,0.003,"BEN","Sub-Saharan Africa",119.0
3,"Benin",1965,"F",45,54,94.21,4.40,1.31,1.30,0.40,0.10,0.06,0.329,0.255,0.071,0.003,"BEN","Sub-Saharan Africa",88.0
3,"Benin",1965,"F",55,64,94.38,4.40,1.23,1.13,0.35,0.09,0.05,0.306,0.242,0.062,0.003,"BEN","Sub-Saharan Africa",64.0
3,"Benin",1970,"F",15,24,89.39,6.83,3.48,3.71,0.44,0.07,0.02,0.704,0.536,0.166,0.002,"BEN","Sub-Saharan Africa",276.0
3,"Benin",1970,"F",25,34,94.21,4.40,1.85,1.30,0.40,0.10,0.06,0.345,0.271,0.071,0.003,"BEN","Sub-Saharan Africa",185.0
3,"Benin",1970,"F",35,44,94.21,4.40,1.61,1.30,0.40,0.10,0.06,0.338,0.264,0.071,0.003,"BEN","Sub-Saharan Africa",132.0
3,"Benin",1970,"F",45,54,94.21,4.40,1.40,1.30,0.40,0.10,0.06,0.332,0.258,0.071,0.003,"BEN","Sub-Saharan Africa",97.0
3,"Benin",1970,"F",55,64,94.26,4.40,1.31,1.25,0.38,0.10,0.05,0.323,0.252,0.068,0.003,"BEN","Sub-Saharan Africa",68.0
3,"Benin",1975,"F",15,24,86.96,8.64,4.73,4.32,0.49,0.07,0.02,0.859,0.665,0.193,0.002,"BEN","Sub-Saharan Africa",319.0
3,"Benin",1975,"F",25,34,94.21,4.40,1.97,1.30,0.40,0.10,0.06,0.349,0.275,0.071,0.003,"BEN","Sub-Saharan Africa",217.0
3,"Benin",1975,"F",35,44,94.21,4.40,1.72,1.30,0.40,0.10,0.06,0.342,0.267,0.071,0.003,"BEN","Sub-Saharan Africa",150.0
3,"Benin",1975,"F",45,54,94.21,4.40,1.50,1.30,0.40,0.10,0.06,0.335,0.261,0.071,0.003,"BEN","Sub-Saharan Africa",107.0
3,"Benin",1975,"F",55,64,94.21,4.40,1.40,1.30,0.40,0.10,0.06,0.332,0.258,0.071,0.003,"BEN","Sub-Saharan Africa",75.0
3,"Benin",1980,"F",15,24,81.05,11.82,6.90,7.08,1.47,0.05,0.02,1.321,0.989,0.331,0.001,"BEN","Sub-Saharan Africa",357.0
3,"Benin",1980,"F",25,34,94.30,4.40,2.13,1.30,0.40,0.10,0.06,0.354,0.280,0.071,0.003,"BEN","Sub-Saharan Africa",257.0
3,"Benin",1980,"F",35,44,94.30,4.40,1.85,1.30,0.40,0.10,0.06,0.346,0.272,0.071,0.003,"BEN","Sub-Saharan Africa",172.0
3,"Benin",1980,"F",45,54,94.30,4.40,1.62,1.30,0.40,0.10,0.06,0.339,0.264,0.071,0.003,"BEN","Sub-Saharan Africa",120.0
3,"Benin",1980,"F",55,64,94.30,4.40,1.51,1.30,0.40,0.10,0.06,0.336,0.261,0.071,0.003,"BEN","Sub-Saharan Africa",84.0
3,"Benin",1985,"F",15,24,74.50,14.96,9.44,10.30,2.77,0.24,0.09,1.883,1.365,0.512,0.007,"BEN","Sub-Saharan Africa",403.0
3,"Benin",1985,"F",25,34,87.95,7.47,3.90,4.33,1.61,0.25,0.15,0.862,0.616,0.239,0.008,"BEN","Sub-Saharan Africa",301.0
3,"Benin",1985,"F",35,44,93.05,4.96,2.25,1.80,0.55,0.20,0.13,0.445,0.336,0.102,0.007,"BEN","Sub-Saharan Africa",203.0
3,"Benin",1985,"F",45,54,94.03,4.44,1.76,1.41,0.43,0.12,0.08,0.360,0.278,0.078,0.004,"BEN","Sub-Saharan Africa",138.0
3,"Benin",1985,"F",55,64,94.55,4.14,1.53,1.21,0.37,0.10,0.06,0.318,0.249,0.067,0.003,"BEN","Sub-Saharan Africa",94.0
3,"Benin",1990,"F",15,24,68.32,19.65,13.22,11.75,4.96,0.28,0.12,2.354,1.708,0.638,0.008,"BEN","Sub-Saharan Africa",477.0
3,"Benin",1990,"F",25,34,81.48,10.12,5.63,7.96,3.56,0.44,0.28,1.447,0.977,0.456,0.014,"BEN","Sub-Saharan Africa",340.0
3,"Benin",1990,"F",35,44,90.42,6.25,3.03,2.91,0.89,0.42,0.29,0.665,0.478,0.173,0.014,"BEN","Sub-Saharan Africa",243.0
3,"Benin",1990,"F",45,54,93.16,4.88,2.06,1.78,0.55,0.18,0.12,0.432,0.326,0.100,0.006,"BEN","Sub-Saharan Africa",160.0
3,"Benin",1990,"F",55,64,94.63,4.04,1.59,1.24,0.38,0.10,0.06,0.320,0.249,0.068,0.003,"BEN","Sub-Saharan Africa",107.0
3,"Benin",1995,"F",15,24,65.22,22.11,15.58,12.05,5.30,0.63,0.26,2.594,1.891,0.685,0.018,"BEN","Sub-Saharan Africa",575.0
3,"Benin",1995,"F",25,34,76.62,12.75,7.45,10.01,6.64,0.62,0.40,1.907,1.244,0.643,0.020,"BEN","Sub-Saharan Africa",398.0
3,"Benin",1995,"F",35,44,84.08,8.82,4.49,6.46,2.37,0.64,0.45,1.221,0.825,0.374,0.022,"BEN","Sub-Saharan Africa",293.0
3,"Benin",1995,"F",45,54,89.90,6.48,2.88,3.16,0.97,0.46,0.31,0.701,0.498,0.188,0.015,"BEN","Sub-Saharan Africa",193.0
3,"Benin",1995,"F",55,64,93.51,4.59,1.91,1.73,0.53,0.18,0.11,0.412,0.309,0.097,0.006,"BEN","Sub-Saharan Africa",124.0
3,"Benin",2000,"F",15,24,63.10,20.21,14.86,16.03,8.07,0.72,0.29,3.011,2.057,0.934,0.020,"BEN","Sub-Saharan Africa",702.0
3,"Benin",2000,"F",25,34,73.00,16.05,9.81,9.93,8.34,1.02,0.65,2.185,1.433,0.719,0.033,"BEN","Sub-Saharan Africa",462.0
3,"Benin",2000,"F",35,44,78.80,10.30,5.48,10.00,4.43,0.90,0.63,1.754,1.127,0.596,0.031,"BEN","Sub-Saharan Africa",328.0
3,"Benin",2000,"F",45,54,84.80,9.00,4.17,5.30,1.63,0.90,0.61,1.121,0.767,0.324,0.030,"BEN","Sub-Saharan Africa",231.0
3,"Benin",2000,"F",55,64,91.60,5.60,2.43,2.50,0.77,0.30,0.19,0.563,0.409,0.144,0.010,"BEN","Sub-Saharan Africa",144.0
3,"Benin",2005,"F",15,24,57.77,16.31,12.64,25.10,13.15,0.81,0.33,3.901,2.423,1.455,0.023,"BEN","Sub-Saharan Africa",852.0
3,"Benin",2005,"F",25,34,70.41,17.77,11.45,10.51,10.09,1.31,0.84,2.444,1.586,0.815,0.043,"BEN","Sub-Saharan Africa",550.0
3,"Benin",2005,"F",35,44,75.96,12.49,7.01,10.71,7.07,0.85,0.60,2.007,1.278,0.700,0.029,"BEN","Sub-Saharan Africa",371.0
3,"Benin",2005,"F",45,54,81.50,9.71,4.75,7.88,2.87,0.90,0.61,1.455,0.961,0.464,0.030,"BEN","Sub-Saharan Africa",273.0
3,"Benin",2005,"F",55,64,87.73,7.53,3.46,4.09,1.26,0.64,0.41,0.881,0.614,0.246,0.021,"BEN","Sub-Saharan Africa",174.0
3,"Benin",2010,"F",15,24,45.18,15.65,14.41,38.31,22.51,0.86,0.35,5.545,3.252,2.268,0.024,"BEN","Sub-Saharan Africa",974.0
3,"Benin",2010,"F",25,34,68.96,15.83,11.95,13.75,13.75,1.46,0.93,2.859,1.746,1.065,0.048,"BEN","Sub-Saharan Africa",688.0
3,"Benin",2010,"F",35,44,73.00,16.06,10.56,9.93,8.31,1.02,0.72,2.208,1.455,0.718,0.035,"BEN","Sub-Saharan Africa",433.0
3,"Benin",2010,"F",45,54,78.80,10.30,5.90,10.00,4.43,0.90,0.61,1.766,1.140,0.596,0.030,"BEN","Sub-Saharan Africa",307.0
3,"Benin",2010,"F",55,64,84.80,9.00,4.83,5.30,1.63,0.90,0.58,1.140,0.787,0.324,0.030,"BEN","Sub-Saharan Africa",210.0
3,"Benin",2015,"F",15,24,24.87,31.62,26.64,38.67,21.18,4.61,1.83,6.977,4.344,2.505,0.129,"BEN","Sub-Saharan Africa",1039.0
3,"Benin",2015,"F",25,34,64.12,16.90,11.76,13.66,13.66,5.31,3.33,3.499,1.998,1.328,0.173,"BEN","Sub-Saharan Africa",736.0
3,"Benin",2015,"F",35,44,70.43,17.77,10.73,10.49,10.09,1.31,0.91,2.422,1.563,0.814,0.044,"BEN","Sub-Saharan Africa",515.0
3,"Benin",2015,"F",45,54,75.93,12.51,6.57,10.72,7.15,0.85,0.56,1.996,1.266,0.702,0.028,"BEN","Sub-Saharan Africa",352.0
3,"Benin",2015,"F",55,64,81.42,9.73,4.78,7.95,2.90,0.90,0.57,1.464,0.966,0.468,0.029,"BEN","Sub-Saharan Africa",222.0
4,"Botswana",1950,"F",15,24,60.40,37.71,8.50,1.82,0.37,0.07,0.02,1.817,1.749,0.065,0.002,"BWA","Sub-Saharan Africa",45.0
4,"Botswana",1950,"F",25,34,71.77,26.43,4.89,1.70,0.40,0.10,0.06,1.289,1.222,0.064,0.003,"BWA","Sub-Saharan Africa",31.0
4,"Botswana",1950,"F",35,44,71.77,26.43,4.24,1.70,0.40,0.10,0.06,1.267,1.200,0.064,0.003,"BWA","Sub-Saharan Africa",18.0
4,"Botswana",1950,"F",45,54,71.77,26.43,3.65,1.70,0.40,0.10,0.06,1.246,1.179,0.064,0.003,"BWA","Sub-Saharan Africa",15.0
4,"Botswana",1950,"F",55,64,71.95,26.49,3.43,1.48,0.35,0.09,0.05,1.215,1.157,0.056,0.003,"BWA","Sub-Saharan Africa",14.0
4,"Botswana",1955,"F",15,24,59.53,38.54,8.89,1.85,0.38,0.07,0.02,1.863,1.795,0.067,0.002,"BWA","Sub-Saharan Africa",52.0
4,"Botswana",1955,"F",25,34,71.77,26.43,5.03,1.70,0.40,0.10,0.06,1.294,1.227,0.064,0.003,"BWA","Sub-Saharan Africa",36.0
4,"Botswana",1955,"F",35,44,71.77,26.43,4.37,1.70,0.40,0.10,0.06,1.271,1.204,0.064,0.003,"BWA","Sub-Saharan Africa",21.0
4,"Botswana",1955,"F",45,54,71.77,26.43,3.77,1.70,0.40,0.10,0.06,1.250,1.183,0.064,0.003,"BWA","Sub-Saharan Africa",15.0
4,"Botswana",1955,"F",55,64,71.83,26.45,3.51,1.62,0.38,0.10,0.05,1.233,1.169,0.061,0.003,"BWA","Sub-Saharan Africa",12.0
4,"Botswana",1960,"F",15,24,59.15,38.81,10.41,1.97,0.40,0.07,0.02,1.938,1.866,0.071,0.002,"BWA","Sub-Saharan Africa",56.0
4,"Botswana",1960,"F",25,34,71.77,26.43,5.26,1.70,0.40,0.10,0.06,1.303,1.235,0.064,0.003,"BWA","Sub-Saharan Africa",37.0
4,"Botswana",1960,"F",35,44,71.77,26.43,4.57,1.70,0.40,0.10,0.06,1.278,1.211,0.064,0.003,"BWA","Sub-Saharan Africa",26.0
4,"Botswana",1960,"F",45,54,71.77,26.43,3.96,1.70,0.40,0.10,0.06,1.257,1.190,0.064,0.003,"BWA","Sub-Saharan Africa",15.0
4,"Botswana",1960,"F",55,64,71.77,26.43,3.66,1.70,0.40,0.10,0.06,1.246,1.179,0.064,0.003,"BWA","Sub-Saharan Africa",12.0
4,"Botswana",1965,"F",15,24,44.90,52.00,14.46,3.10,0.30,0.00,0.00,2.642,2.543,0.099,0.000,"BWA","Sub-Saharan Africa",62.0
4,"Botswana",1965,"F",25,34,71.70,26.40,5.93,1.70,0.40,0.10,0.06,1.325,1.258,0.064,0.003,"BWA","Sub-Saharan Africa",43.0
4,"Botswana",1965,"F",35,44,71.70,26.40,4.84,1.70,0.40,0.10,0.06,1.287,1.220,0.064,0.003,"BWA","Sub-Saharan Africa",29.0
4,"Botswana",1965,"F",45,54,71.70,26.40,4.21,1.70,0.40,0.10,0.06,1.265,1.197,0.064,0.003,"BWA","Sub-Saharan Africa",18.0
4,"Botswana",1965,"F",55,64,71.70,26.40,3.88,1.70,0.40,0.10,0.06,1.253,1.186,0.064,0.003,"BWA","Sub-Saharan Africa",12.0
4,"Botswana",1970,"F",15,24,36.55,55.40,16.81,7.77,0.93,0.27,0.09,3.363,3.091,0.265,0.007,"BWA","Sub-Saharan Africa",76.0
4,"Botswana",1970,"F",25,34,52.80,43.70,3.50,3.10,0.60,0.50,0.28,2.050,1.904,0.130,0.016,"BWA","Sub-Saharan Africa",48.0
4,"Botswana",1970,"F",35,44,61.40,36.40,1.00,1.80,0.40,0.40,0.25,1.558,1.463,0.082,0.013,"BWA","Sub-Saharan Africa",31.0
4,"Botswana",1970,"F",45,54,72.20,26.20,0.60,1.10,0.40,0.40,0.24,1.117,1.043,0.061,0.013,"BWA","Sub-Saharan Africa",23.0
4,"Botswana",1970,"F",55,64,83.30,15.90,0.30,0.50,0.19,0.30,0.17,0.666,0.623,0.034,0.009,"BWA","Sub-Saharan Africa",12.0
4,"Botswana",1975,"F",15,24,38.40,51.28,24.48,10.13,1.70,0.19,0.05,3.726,3.374,0.347,0.005,"BWA","Sub-Saharan Africa",93.0
4,"Botswana",1975,"F",25,34,47.94,47.79,15.36,3.90,0.85,0.37,0.21,2.673,2.509,0.152,0.011,"BWA","Sub-Saharan Africa",55.0
4,"Botswana",1975,"F",35,44,54.29,42.50,11.53,2.87,0.63,0.34,0.21,2.243,2.116,0.116,0.011,"BWA","Sub-Saharan Africa",38.0
4,"Botswana",1975,"F",45,54,59.90,37.50,9.04,2.29,0.62,0.31,0.19,1.917,1.811,0.096,0.010,"BWA","Sub-Saharan Africa",26.0
